unit,area_density,shape,core,aggregation,region,layer,class_type
hwasun_infra_cls_1,0.1088302014057635,0.8368031779475394,0.1529067704317197,0.3221179819330411,hwasun,infra,cls_1
hwasun_infra_cls_9,0.4803818435156675,0.7153615269023991,0.2866520694709635,0.4175486543486594,hwasun,infra,cls_9
hwasun_pibok_cls_1,0.05420253681603506,0.6046214518722796,0.04525351185922644,0.07847628229093079,hwasun,pibok,cls_1
hwasun_pibok_cls_9,0.4251613596620859,0.4522228111800367,0.24327229963055994,0.3433150529032937,hwasun,pibok,cls_9
hwasun_nongeup_cls_1,0.21876734467221756,0.827381911792084,0.23043199986485427,0.6253277693064058,hwasun,nongeup,cls_1
hwasun_nongeup_cls_9,0.91699300607435,0.7839023128323718,0.9558039677744501,0.9117418123964942,hwasun,nongeup,cls_9
hwasun_toyang3_cls_1,0.23321431165462317,0.5782224859631837,0.24090898417421708,0.6493655158328875,hwasun,toyang3,cls_1
hwasun_toyang3_cls_9,0.5966902511579331,0.6378431001178301,0.4940314428028496,0.7337545763006632,hwasun,toyang3,cls_9
naju_infra_cls_1,0.09693766483201352,0.678964546587791,0.14109459680103095,0.28266409353062977,naju,infra,cls_1
naju_infra_cls_9,0.3403815281987452,0.5027545286364453,0.21017756803422571,0.3914208767980578,naju,infra,cls_9
naju_pibok_cls_1,0.0824989880109938,0.4263305791759708,0.06214962440253691,0.1522823301355892,naju,pibok,cls_1
naju_pibok_cls_9,0.23787596558727414,0.2278871625655438,0.1410378381522636,0.32320817524812234,naju,pibok,cls_9
naju_nongeup_cls_1,0.20726724854377812,0.744118658659849,0.25966524058526697,0.5928384621658201,naju,nongeup,cls_1
naju_nongeup_cls_9,0.34491808663569,0.7215070345765501,0.31784844613130614,0.6246760790287049,naju,nongeup,cls_9
naju_toyang3_cls_1,0.21303695890676955,0.682867687095923,0.27650685135296926,0.5392885611441559,naju,toyang3,cls_1
naju_toyang3_cls_9,0.2565235214308049,0.6863805320434113,0.2907646713910621,0.592525525717426,naju,toyang3,cls_9
